iter	Passed	Remaining
403	9456	2247
404	9479	2223
405	9503	2200
406	9525	2176
407	9548	2153
408	9571	2129
409	9595	2106
410	9619	2083
411	9643	2059
412	9665	2036
413	9690	2013
414	9714	1989
415	9738	1966
416	9760	1942
417	9784	1919
418	9806	1895
419	9829	1872
420	9851	1848
421	9874	1825
422	9897	1801
423	9919	1778
424	9942	1754
425	9965	1731
426	9991	1708
427	10013	1684
428	10036	1661
429	10060	1637
430	10085	1614
431	10107	1591
432	10130	1567
433	10153	1544
434	10176	1520
435	10198	1497
436	10221	1473
437	10244	1450
438	10270	1427
439	10297	1404
440	10319	1380
441	10342	1357
442	10365	1333
443	10390	1310
444	10413	1287
445	10436	1263
446	10460	1240
447	10484	1216
448	10506	1193
449	10532	1170
450	10555	1146
451	10578	1123
452	10600	1099
453	10623	1076
454	10647	1053
455	10671	1029
456	10693	1006
457	10716	982
458	10741	959
459	10765	936
460	10789	912
461	10813	889
462	10836	865
463	10858	842
464	10881	819
465	10904	795
466	10927	772
467	10949	748
468	10973	725
469	10997	701
470	11020	678
471	11045	655
472	11068	631
473	11091	608
474	11114	584
475	11137	561
476	11159	538
477	11183	514
478	11195	490
479	11219	467
480	11241	444
481	11266	420
482	11289	397
483	11312	373
484	11335	350
485	11360	327
486	11382	303
487	11406	280
488	11429	257
489	11451	233
490	11474	210
491	11498	186
492	11523	163
493	11545	140
494	11568	116
495	11591	93
496	11614	70
497	11636	46
498	11659	23
499	11681	0
