iter	MultiClass
0	0.8687146449
1	0.7028744
2	0.5969978951
3	0.512321556
4	0.4407856751
5	0.3853769598
6	0.3447331233
7	0.3133590421
8	0.2833464338
9	0.2623232812
10	0.241113208
11	0.2224699006
12	0.2088611472
13	0.1948580056
14	0.1832463748
15	0.1726273871
16	0.1637375536
17	0.1554865701
18	0.1466471139
19	0.1389205735
20	0.1331388082
21	0.1263468476
22	0.1221711075
23	0.1181455184
24	0.1138875884
25	0.1108444288
26	0.1065034355
27	0.1030979239
28	0.09907188371
29	0.09569732529
30	0.09269964688
31	0.08920427313
32	0.08700516583
33	0.08501784583
34	0.08299492948
35	0.08060310654
36	0.07919085458
37	0.0771607777
38	0.07524430335
39	0.07375955952
40	0.07202975195
41	0.06997045328
42	0.06849603763
43	0.06705170638
44	0.06495071126
45	0.06348489775
46	0.06199427483
47	0.06061951317
48	0.05883837644
49	0.05767823035
50	0.05665788623
51	0.05573730759
52	0.05469770316
53	0.05360813878
54	0.05232421659
55	0.05142316213
56	0.05039104542
57	0.04922683739
58	0.04822902573
59	0.04726132322
60	0.04630617695
61	0.04579086493
62	0.04497185054
63	0.04429812813
64	0.04342163432
65	0.04262433931
66	0.04187289968
67	0.04098902645
68	0.04040018984
69	0.03959796247
70	0.03896056534
71	0.03858237505
72	0.03792903571
73	0.03732627169
74	0.03661193391
75	0.03601028563
76	0.03529666714
77	0.03455728209
78	0.03410532655
79	0.03369897945
80	0.03298569016
81	0.03263123299
82	0.03218408916
83	0.0316431935
84	0.03121781092
85	0.03077409797
86	0.03041750427
87	0.03002658579
88	0.02960296854
89	0.02924850387
90	0.02889603743
91	0.02851967519
92	0.02812997369
93	0.02774452735
94	0.02740482408
95	0.02713094439
96	0.02688859046
97	0.02657602881
98	0.0262599626
99	0.02595716418
100	0.02556692385
101	0.02522570971
102	0.02485012724
103	0.02461709787
104	0.02426620924
105	0.02397335138
106	0.02365878376
107	0.02344781446
108	0.0232779875
109	0.02301747864
110	0.02276899635
111	0.02248541721
112	0.02223315299
113	0.02204648876
114	0.02186191563
115	0.02161747738
116	0.02141450324
117	0.02126308418
118	0.02097920985
119	0.02080048435
120	0.02060222019
121	0.02034677594
122	0.02010978911
123	0.01985395073
124	0.01968083055
125	0.01947811729
126	0.01926519144
127	0.01903621829
128	0.018906571
129	0.01867316217
130	0.01851245473
131	0.01831731231
132	0.01818224331
133	0.01802607993
134	0.01785106951
135	0.01767653739
136	0.0174661631
137	0.01725500484
138	0.01708755613
139	0.01697493869
140	0.01681492021
141	0.01664071638
142	0.01646721961
143	0.01632225202
144	0.01617736682
145	0.01598332931
146	0.01580793524
147	0.01569452364
148	0.01555759138
149	0.01546705174
150	0.01527450197
151	0.01511573873
152	0.01499861865
153	0.01482824344
154	0.01474465419
155	0.01462163058
156	0.01449919503
157	0.01435867095
158	0.01423129599
159	0.01411389577
160	0.0139889938
161	0.01389760469
162	0.01372369603
163	0.01361841414
164	0.01349141423
165	0.01337285765
166	0.01327357146
167	0.01316106967
168	0.01307632564
169	0.01299636732
170	0.01292786126
171	0.01287146098
172	0.01277269491
173	0.01269518703
174	0.01263148584
175	0.01253597156
176	0.01243653178
177	0.01234446941
178	0.0122649209
179	0.0121548608
180	0.0120782365
181	0.01199755671
182	0.01193028041
183	0.01184615336
184	0.01179140278
185	0.01172565359
186	0.01164913706
187	0.01154649516
188	0.0114694377
189	0.01140130023
190	0.01133547938
191	0.01127753404
192	0.01120462236
193	0.01115153942
194	0.01108618671
195	0.01101616261
196	0.01094691762
197	0.01088925004
198	0.01082262664
199	0.01074811207
200	0.01070201737
201	0.01061772347
202	0.01057314446
203	0.01053957208
204	0.01049072343
205	0.01040870515
206	0.01034260259
207	0.01028781076
208	0.01022566635
209	0.0101822037
210	0.01010195498
211	0.01002618925
212	0.00996114112
213	0.009917744012
214	0.00986913809
215	0.009821368526
216	0.009771723298
217	0.00972266085
218	0.00967152736
219	0.00962114217
220	0.009589631604
221	0.009524721135
222	0.009482390578
223	0.00941669809
224	0.00937575856
225	0.00932482201
226	0.009267371074
227	0.009232936338
228	0.009154713778
229	0.009114124848
230	0.009070456338
231	0.00901908407
232	0.00896522535
233	0.008921517547
234	0.008872672782
235	0.00882609972
236	0.00876630719
237	0.008720966325
238	0.008678423734
239	0.008618629558
240	0.008571100409
241	0.008518753037
242	0.008477685286
243	0.008442508147
244	0.008402618111
245	0.008350565352
246	0.00830908895
247	0.008270604679
248	0.008213626491
249	0.008175693015
250	0.008149294497
251	0.00811903421
252	0.008075725172
253	0.008027255555
254	0.007986891097
255	0.007941885952
256	0.007908709987
257	0.00787272777
258	0.007834429997
259	0.007805171741
260	0.007774136581
261	0.007722084888
262	0.00769115864
263	0.00765386609
264	0.007621793485
265	0.007592475771
266	0.007569656667
267	0.007527489345
268	0.007488423267
269	0.007449685816
270	0.007413785067
271	0.00738615695
272	0.007358964554
273	0.007336661682
274	0.007289089194
275	0.007263120577
276	0.007227295853
277	0.007201540493
278	0.007183246836
279	0.007130469286
280	0.007102976273
281	0.007077584587
282	0.007036287315
283	0.00701959619
284	0.006991718865
285	0.006956397194
286	0.006917301002
287	0.006885051078
288	0.006863364369
289	0.006828773928
290	0.00681224974
291	0.006784522568
292	0.006759800319
293	0.006739862408
294	0.006718261582
295	0.006695307214
296	0.006676353193
297	0.006644338841
298	0.006625719706
299	0.006593024074
300	0.006575546363
301	0.006539265108
302	0.006497895887
303	0.006449491052
304	0.006421750876
305	0.006389687389
306	0.006373495693
307	0.006350313084
308	0.006321204731
309	0.006291390526
310	0.006268682835
311	0.006245481991
312	0.006223274011
313	0.006203215483
314	0.00617637074
315	0.006158451471
316	0.006128597219
317	0.006101779678
318	0.006087256284
319	0.006067222462
320	0.0060456251
321	0.006028458779
322	0.006008723407
323	0.005990666286
324	0.005965094267
325	0.005943385061
326	0.00592448928
327	0.005901263353
328	0.005886211426
329	0.005865740474
330	0.005844245295
331	0.005822924781
332	0.005803715905
333	0.005783361412
334	0.005756369454
335	0.005734704056
336	0.005713605765
337	0.005697211498
338	0.005683573538
339	0.005653668802
340	0.00563922932
341	0.005606309554
342	0.005577800183
343	0.005557166931
344	0.005539056663
345	0.00552713236
346	0.005501909535
347	0.005481498767
348	0.005460199833
349	0.005436043407
350	0.005420136837
351	0.005402262469
352	0.005389029328
353	0.005369518066
354	0.005356239091
355	0.005340450907
356	0.005322322957
357	0.005307244502
358	0.005279513676
359	0.005260698217
360	0.005243560159
361	0.005231688511
362	0.005215926345
363	0.005192300842
364	0.005172957868
365	0.005151011994
366	0.005134527044
367	0.005120491766
368	0.005102620586
369	0.00508875603
370	0.005057715744
371	0.005033566
372	0.005006952487
373	0.004989378068
374	0.004978153198
375	0.004963076504
376	0.004948181087
377	0.004932323762
378	0.004920055268
379	0.004903278563
380	0.004895524421
381	0.00487734629
382	0.004863224519
383	0.004850211083
384	0.00483756851
385	0.004822497671
386	0.004805376431
387	0.00479559509
388	0.004784887563
389	0.004759007655
390	0.004747267622
